Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,oop_eFG%,oop_TOV%,oop_ORB%,oop_FT/FGA
11,2012-13,OKC*,NBA,82,60,22,0.732,19830,3126,6504,2528,4916,598,1588,1819,2196,854,2725,3579,1753,679,624,1253,1654,8669,9.21,-0.06,9.15,93.3,112.4,102.6,0.527,14.4,26.7,0.28,0.469,13.5,26.6,0.197
12,1985-86,BOS*,NBA,82,67,15,0.817,19855,3718,7312,3580,6919,138,393,1785,2248,1054,2753,3807,2387,641,511,1360,1756,9359,9.41,-0.36,9.06,101.2,111.8,102.6,0.518,14.1,31.3,0.244,0.466,13,28.3,0.216
13,1946-47,WSC*,BAA,60,49,11,0.817,,1723,5794,1723,5794,,,982,1391,,,,378,,,,1144,4428,9.87,-0.91,8.99,,,,0.297,,,0.169,,,,
14,1985-86,MIL*,NBA,82,57,25,0.695,19805,3601,7310,3476,6928,125,382,2063,2701,1189,2420,3609,2158,805,460,1369,2210,9390,9.04,-0.35,8.69,102.1,111.4,102.7,0.501,13.9,33.8,0.282,0.473,16.6,32.6,0.281
15,1993-94,SEA*,NBA,82,63,19,0.768,19730,3338,6901,3096,6179,242,722,1769,2374,1148,2233,3381,2112,1053,365,1262,1914,8687,9.09,-0.41,8.68,95.1,111.1,101.5,0.501,13.7,34.4,0.256,0.479,18.2,32.7,0.272
16,2008-09,CLE*,NBA,82,66,16,0.805,19780,3022,6454,2366,4784,656,1670,1523,2012,886,2574,3460,1663,593,435,1045,1663,8223,8.93,-0.25,8.68,88.7,112.4,102.4,0.519,12.5,27.7,0.236,0.468,13.5,25.4,0.226
17,1990-91,CHI*,NBA,82,61,21,0.744,19755,3632,7125,3477,6701,155,424,1605,2111,1148,2342,3490,2212,822,438,1184,1751,9024,9.1,-0.53,8.57,95.6,114.6,105.2,0.521,12.8,34.7,0.225,0.488,15.3,31.2,0.226
18,1966-67,PHI*,NBA,81,68,13,0.84,19515,3912,8103,3912,8103,,,2319,3411,,,5701,2138,,,,1906,10143,9.44,-0.94,8.5,,,,0.483,,,0.286,,,,
19,1990-91,POR*,NBA,82,63,19,0.768,19905,3577,7369,3236,6465,341,904,1912,2538,1202,2561,3763,2254,724,410,1309,1975,9407,8.68,-0.21,8.47,100.5,112.8,104.3,0.509,13.4,33.8,0.259,0.473,14.4,29.6,0.25
20,1969-70,NYK*,NBA,82,60,22,0.732,19730,3803,7975,3803,7975,,,1821,2484,,,4006,2135,,,,2016,9427,9.09,-0.66,8.42,,,,0.477,,,0.228,,,,
21,1999-00,LAL*,NBA,82,67,15,0.817,19805,3137,6836,2793,5789,344,1047,1649,2368,1117,2738,3855,1921,613,534,1143,1841,8267,8.55,-0.14,8.41,93.3,107.3,98.2,0.484,12.7,30.6,0.241,0.443,13.4,26.9,0.222
22,2006-07,SAS*,NBA,82,58,24,0.707,19780,2999,6328,2404,4767,595,1561,1486,1980,761,2577,3338,1814,587,417,1137,1588,8079,8.43,-0.08,8.35,89.8,109.2,99.9,0.521,13.6,24.2,0.235,0.471,14,24.3,0.201
23,1986-87,LAL*,NBA,82,65,17,0.793,19730,3740,7245,3576,6798,164,447,2012,2550,1127,2515,3642,2428,728,482,1358,1853,9656,9.3,-0.98,8.32,101.6,115.6,106.5,0.528,14,34.1,0.278,0.476,13.8,33.7,0.23
24,1949-50,MNL*,NBA,68,51,17,0.75,,2139,5832,2139,5832,,,1439,1943,,,,1406,,,,1672,5717,8.34,-0.09,8.25,,,,0.367,,,0.247,,,,
25,1961-62,BOS*,NBA,80,60,20,0.75,,3855,9109,3855,9109,,,1977,2715,,,6080,2049,,,,1909,9687,9.24,-0.98,8.25,,,,0.423,,,0.217,,,,
